parmseq,Outcome,idnum,parm,label,estimate,stderr,dof,t,p,min95,max95,uncp,corp,signif,myqvallargervolumes,selected,selected_final,,mlog10p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zodam ,1003,poororalhealth_sev,,-0.29,0.04683378,4878,-6.1957191,6.30E-10,-0.38,-0.2,0.05,0.00003418,1,9.19E-07,1,1,,9.200659451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zefna4 ,463,poororalhealth_sev,,0.25,0.04509907,4950,5.5395792,3.20E-08,0.16,0.34,0.05,0.00003418,1,0.00002333,1,1,,7.494850022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zacvrl1 ,12,poororalhealth_sev,,0.22,0.0436149,4950,5.1180885,3.20E-07,0.14,0.31,0.05,0.00003418,1,0.00015621,1,1,,6.494850022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zgdf15 ,583,poororalhealth_sev,,0.2,0.03999489,5052,4.9300753,8.50E-07,0.12,0.28,0.05,0.00003418,1,0.00026085,1,1,,6.070581074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zren ,1159,poororalhealth_sev,,0.22,0.0441636,4997,4.9203857,8.90E-07,0.13,0.3,0.05,0.00003418,1,0.00026085,1,1,,6.050609993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, ztnfrsf1a ,1377,poororalhealth_sev,,0.2,0.04390082,4978,4.4677592,8.10E-06,0.11,0.28,0.05,0.00003418,1,0.00168729,1,1,,5.091514981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, ztnfrsf4 ,1380,poororalhealth_sev,,0.2,0.04538132,5030,4.4564337,8.50E-06,0.11,0.29,0.05,0.00003418,1,0.00168729,1,1,,5.070581074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zvsig4 ,1436,poororalhealth_sev,,0.2,0.04442928,4967,4.439167,9.20E-06,0.11,0.28,0.05,0.00003418,1,0.00168729,1,1,,5.036212173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcd83 ,243,poororalhealth_sev,,0.2,0.04511703,4976,4.3741078,1.20E-05,0.11,0.29,0.05,0.00003418,1,0.00190929,1,1,,4.920818754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zwfdc2 ,1450,poororalhealth_sev,,0.19,0.04459557,4682,4.3639167,1.30E-05,0.11,0.28,0.05,0.00003418,1,0.00190929,1,1,,4.886056648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zil2ra ,732,poororalhealth_sev,,0.2,0.04563885,4968,4.3036678,1.70E-05,0.11,0.29,0.05,0.00003418,1,0.00213156,1,1,,4.769551079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, ztnfrsf10b ,1368,poororalhealth_sev,,0.19,0.04446157,4957,4.2913824,1.80E-05,0.1,0.28,0.05,0.00003418,1,0.00213156,1,1,,4.744727495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcolec12 ,335,poororalhealth_sev,,0.18,0.04280992,4970,4.2811794,1.90E-05,0.1,0.27,0.05,0.00003418,1,0.00213156,1,1,,4.721246399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zrelt ,1158,poororalhealth_sev,,0.17,0.04013317,4978,4.2483485,2.20E-05,0.09,0.25,0.05,0.00003418,1,0.00229152,1,1,,4.657577319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zplaur ,1064,poororalhealth_sev,,0.19,0.04459015,4945,4.1997898,2.70E-05,0.1,0.27,0.05,0.00003418,1,0.00265156,1,1,,4.568636236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zhavcr2 ,638,poororalhealth_sev,,0.18,0.04526798,4978,4.0274754,5.70E-05,0.09,0.27,0.05,0.00003418,0,0.0052319,0,0,,4.244125144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, ztnfrsf14 ,1375,poororalhealth_sev,,0.18,0.04520601,4979,3.9819991,6.90E-05,0.09,0.27,0.05,0.00003418,0,0.00596493,0,0,,4.161150909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zpik3ip1 ,1052,poororalhealth_sev,,0.17,0.04407531,4978,3.9081138,9.40E-05,0.09,0.26,0.05,0.00003418,0,0.00766081,0,0,,4.026872146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zpgf ,1046,poororalhealth_sev,,0.16,0.04162461,5036,3.8522292,1.20E-04,0.08,0.24,0.05,0.00003418,0,0.00912464,0,0,,3.920818754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zslamf6 ,1249,poororalhealth_sev,,0.18,0.04656436,4886,3.7609364,1.70E-04,0.08,0.27,0.05,0.00003418,0,0.01252758,0,0,,3.769551079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, ztrem2 ,1401,poororalhealth_sev,,0.16,0.04311957,4970,3.7324753,1.90E-04,0.08,0.25,0.05,0.00003418,0,0.01300381,0,0,,3.721246399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zscarb2 ,1191,poororalhealth_sev,,0.16,0.04402139,4852,3.7275584,2.00E-04,0.08,0.25,0.05,0.00003418,0,0.01300381,0,0,,3.698970004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcd70 ,240,poororalhealth_sev,,0.17,0.04462998,4976,3.7156558,2.00E-04,0.08,0.25,0.05,0.00003418,0,0.0130335,0,0,,3.698970004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zltbr ,857,poororalhealth_sev,,0.17,0.0460733,4951,3.6960647,2.20E-04,0.08,0.26,0.05,0.00003418,0,0.01314609,0,0,,3.657577319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, ztnfrsf9 ,1383,poororalhealth_sev,,0.17,0.04524907,4957,3.6922804,2.20E-04,0.08,0.26,0.05,0.00003418,0,0.01314609,0,0,,3.657577319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, ztafa5 ,1318,poororalhealth_sev,,0.17,0.04552681,4963,3.635309,2.80E-04,0.08,0.25,0.05,0.00003418,0,0.01526108,0,0,,3.552841969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcol6a3 ,333,poororalhealth_sev,,0.16,0.0438866,5052,3.6277774,2.90E-04,0.07,0.25,0.05,0.00003418,0,0.01526108,0,0,,3.537602002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, ztff2 ,1334,poororalhealth_sev,,0.16,0.04485047,4986,3.6247929,2.90E-04,0.07,0.25,0.05,0.00003418,0,0.01526108,0,0,,3.537602002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zlamp3 ,813,poororalhealth_sev,,0.16,0.04344589,5030,3.60485,3.20E-04,0.07,0.24,0.05,0.00003418,0,0.01590928,0,0,,3.494850022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zangpt2 ,61,poororalhealth_sev,,0.16,0.04598003,5019,3.5805969,3.50E-04,0.07,0.25,0.05,0.00003418,0,0.01687592,0,0,,3.455931956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcxcl17 ,396,poororalhealth_sev,,0.15,0.04064694,5036,3.5688773,3.60E-04,0.07,0.22,0.05,0.00003418,0,0.01707719,0,0,,3.443697499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zlayn ,817,poororalhealth_sev,,0.16,0.04454965,4951,3.5506759,3.90E-04,0.07,0.25,0.05,0.00003418,0,0.01773044,0,0,,3.408935393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zigfbp4 ,688,poororalhealth_sev,,0.15,0.04345989,4917,3.5374675,4.10E-04,0.07,0.24,0.05,0.00003418,0,0.01807528,0,0,,3.387216143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zckap4 ,296,poororalhealth_sev,,0.16,0.04543973,5018,3.5101984,4.50E-04,0.07,0.25,0.05,0.00003418,0,0.01916376,0,0,,3.346787486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcd274 ,216,poororalhealth_sev,,0.16,0.04608435,4957,3.5062677,4.60E-04,0.07,0.25,0.05,0.00003418,0,0.01916376,0,0,,3.337242168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, znectin4 ,957,poororalhealth_sev,,0.16,0.04582675,5004,3.4858664,4.90E-04,0.07,0.25,0.05,0.00003418,0,0.01966517,0,0,,3.30980392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zsiglec7 ,1239,poororalhealth_sev,,0.15,0.04411876,4997,3.4844719,5.00E-04,0.07,0.24,0.05,0.00003418,0,0.01966517,0,0,,3.301029996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zefna1 ,462,poororalhealth_sev,,0.16,0.04563614,4972,3.4530634,5.60E-04,0.07,0.25,0.05,0.00003418,0,0.02146611,0,0,,3.251811973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, ztnfsf13 ,1387,poororalhealth_sev,,0.15,0.0447413,4993,3.4413817,5.80E-04,0.07,0.24,0.05,0.00003418,0,0.02146611,0,0,,3.236572006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, ztnfrsf1b ,1378,poororalhealth_sev,,0.16,0.04527642,4978,3.4398081,5.90E-04,0.07,0.24,0.05,0.00003418,0,0.02146611,0,0,,3.229147988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
